Alpha,K,Accuracy
35,52,0.9579761904761904
35,54,0.9571428571428572
35,56,0.9570238095238095
35,58,0.9567857142857142
35,60,0.955952380952381
35,62,0.9553571428571429
35,64,0.9548809523809524
35,66,0.9546428571428571
35,68,0.9545238095238096
35,70,0.9539285714285715
35,72,0.9528571428571428
35,74,0.9530952380952381
35,76,0.9523809523809523
35,78,0.9519047619047619
35,80,0.9516666666666667
35,82,0.950595238095238
35,84,0.9503571428571429
35,86,0.9507142857142857
35,88,0.9503571428571429
35,90,0.9503571428571429
35,92,0.9504761904761905
35,94,0.9502380952380952
35,96,0.9496428571428571
35,98,0.9489285714285715
35,100,0.9483333333333334
35,102,0.9485714285714286
35,104,0.9479761904761905
35,106,0.9472619047619047
35,108,0.9463095238095238
35,110,0.945595238095238
35,112,0.9458333333333333
35,114,0.945595238095238
35,116,0.9453571428571429
35,118,0.945
35,120,0.9452380952380952
35,122,0.945
35,124,0.944047619047619
35,126,0.9436904761904762
35,128,0.944047619047619
35,130,0.9439285714285715
35,132,0.9435714285714286
35,134,0.9429761904761905
35,136,0.9430952380952381
35,138,0.9422619047619047
35,140,0.9425
35,142,0.9423809523809524
35,144,0.9419047619047619
35,146,0.9413095238095238
35,148,0.940952380952381
35,150,0.9404761904761905
40,1,0.9713095238095238
40,2,0.9667857142857142
40,4,0.9723809523809523
40,6,0.9729761904761904
40,8,0.9720238095238095
40,10,0.9703571428571428
40,12,0.9695238095238096
40,14,0.968452380952381
40,16,0.9673809523809523
40,18,0.9677380952380953
40,20,0.9654761904761905
40,22,0.965
40,24,0.9638095238095238
40,26,0.9627380952380953
40,28,0.9620238095238095
40,30,0.9617857142857142
40,32,0.9610714285714286
40,34,0.9604761904761905
40,36,0.9601190476190476
40,38,0.959047619047619
40,40,0.9576190476190476
40,42,0.9576190476190476
40,44,0.9567857142857142
40,46,0.9558333333333333
40,48,0.9547619047619048
40,50,0.9544047619047619
40,52,0.9546428571428571
40,54,0.9544047619047619
40,56,0.955
40,58,0.9548809523809524
40,60,0.9541666666666667
40,62,0.954047619047619
40,64,0.9541666666666667
40,66,0.9538095238095238
40,68,0.9525
40,70,0.9521428571428572
40,72,0.9514285714285714
40,74,0.950595238095238
40,76,0.9508333333333333
40,78,0.9510714285714286
40,80,0.95
40,82,0.9494047619047619
40,84,0.9489285714285715
40,86,0.9485714285714286
40,88,0.9483333333333334
40,90,0.9479761904761905
40,92,0.9483333333333334
40,94,0.9477380952380953
40,96,0.9470238095238095
40,98,0.9464285714285714
40,100,0.9465476190476191
40,102,0.9461904761904761
40,104,0.9457142857142857
40,106,0.9452380952380952
40,108,0.945
40,110,0.9445238095238095
40,112,0.9442857142857143
40,114,0.9442857142857143
40,116,0.9436904761904762
40,118,0.9439285714285715
40,120,0.9430952380952381
40,122,0.9432142857142857
40,124,0.9426190476190476
40,126,0.9425
40,128,0.9428571428571428
40,130,0.9425
40,132,0.9417857142857143
40,134,0.9415476190476191
40,136,0.9414285714285714
40,138,0.940595238095238
40,140,0.9410714285714286
40,142,0.940952380952381
40,144,0.9408333333333333
40,146,0.940952380952381
40,148,0.9404761904761905
40,150,0.9398809523809524
45,1,0.9710714285714286
45,2,0.9678571428571429
45,4,0.9728571428571429
45,6,0.9723809523809523
45,8,0.9711904761904762
45,10,0.9717857142857143
45,12,0.9707142857142858
45,14,0.9689285714285715
45,16,0.9680952380952381
45,18,0.9671428571428572
45,20,0.9648809523809524
45,22,0.9632142857142857
45,24,0.963452380952381
45,26,0.9622619047619048
45,28,0.9611904761904762
45,30,0.96
45,32,0.9601190476190476
45,34,0.9597619047619048
45,36,0.9588095238095238
45,38,0.9578571428571429
45,40,0.9570238095238095
45,42,0.9567857142857142
45,44,0.9557142857142857
45,46,0.955952380952381
45,48,0.955
45,50,0.9546428571428571
45,52,0.9544047619047619
45,54,0.9539285714285715
45,56,0.9533333333333334
45,58,0.9533333333333334
45,60,0.9532142857142857
45,62,0.9530952380952381
45,64,0.9530952380952381
45,66,0.9525
45,68,0.9513095238095238
45,70,0.9511904761904761
45,72,0.9511904761904761
45,74,0.9504761904761905
45,76,0.95
45,78,0.9496428571428571
45,80,0.9488095238095238
45,82,0.9489285714285715
45,84,0.9478571428571428
45,86,0.9475
45,88,0.9472619047619047
45,90,0.9467857142857142
45,92,0.9463095238095238
45,94,0.9458333333333333
45,96,0.945595238095238
45,98,0.945952380952381
45,100,0.9457142857142857
45,102,0.945595238095238
45,104,0.9451190476190476
45,106,0.945
45,108,0.9438095238095238
45,110,0.9438095238095238
45,112,0.9429761904761905
45,114,0.9427380952380953
45,116,0.9421428571428572
45,118,0.9417857142857143
45,120,0.9411904761904762
45,122,0.9413095238095238
45,124,0.9415476190476191
45,126,0.9413095238095238
45,128,0.9414285714285714
45,130,0.9413095238095238
45,132,0.940952380952381
45,134,0.9407142857142857
45,136,0.9402380952380952
45,138,0.9401190476190476
45,140,0.9397619047619048
45,142,0.9388095238095238
45,144,0.9386904761904762
45,146,0.9388095238095238
45,148,0.9379761904761905
45,150,0.9383333333333334
50,1,0.9710714285714286
50,2,0.9675
50,4,0.973452380952381
50,6,0.9736904761904762
50,8,0.9717857142857143
50,10,0.9710714285714286
50,12,0.9704761904761905
50,14,0.9697619047619047
50,16,0.9678571428571429
50,18,0.9660714285714286
50,20,0.9653571428571428
50,22,0.9646428571428571
50,24,0.9636904761904762
50,26,0.9615476190476191
50,28,0.9621428571428572
50,30,0.9613095238095238
50,32,0.960952380952381
50,34,0.9603571428571429
50,36,0.9591666666666666
50,38,0.958452380952381
50,40,0.9575
50,42,0.9565476190476191
50,44,0.9564285714285714
50,46,0.9564285714285714
50,48,0.9542857142857143
50,50,0.9539285714285715
50,52,0.9535714285714286
50,54,0.9533333333333334
50,56,0.9530952380952381
50,58,0.9528571428571428
50,60,0.9523809523809523
50,62,0.9520238095238095
50,64,0.9514285714285714
50,66,0.9510714285714286
50,68,0.9504761904761905
50,70,0.95
